_id,commit_id,repo_name,type,issue_title,issue_url,repo_url,commit_url,filePath,category,use,reasons
665189cd4eb27c185fe55b7b,7b9efc2ee537d4417c9a59493ec79b3a66169cf1,Payara,Add Method Annotation,Upgrade to Hazelcast 3.5 for JCache fix,https://github.com/payara/Payara/issues/339,https://github.com/payara/Payara,https://github.com/payara/Payara/commit/7b9efc2ee537d4417c9a59493ec79b3a66169cf1,appserver/payara-appserver-modules/payara-jsr107/src/main/java/fish/payara/cdi/jsr107/CachePutInterceptor.java/69-69,Caching Optimization,Fix-related,"This refactoring is directly aimed at improving the caching system's performance and efficiency. By upgrading Hazelcast and removing the need for a custom value holder, the changes likely result in more efficient caching operations, potentially leading to better overall application performance."
667715563cbfb03cd0957472,9c1b6ad8e5587391bb090cf33f3b3e8cdd55b878,vertx-ignite,Change Attribute Type,Ignite cache cannot expire,https://github.com/vert-x3/vertx-ignite/issues/95,https://github.com/vert-x3/vertx-ignite,https://github.com/vert-x3/vertx-ignite/commit/9c1b6ad8e5587391bb090cf33f3b3e8cdd55b878,src/main/java/io/vertx/spi/cluster/ignite/IgniteCacheOptions.java/55-55,Caching Optimization,Fix-related,"Adding the expiryPolicy attribute improves the caching system's functionality by allowing cache entries to expire based on the specified policy. This refactoring is fix-related, as it addresses a specific issue with cache expiration, enhancing the system's reliability and stability."
664e3d1b7b998c13cdb9ecbc,3a1260954b51e976834306c1b4163c527c88f877,quarkus,Change Return Type,Integrate Redis with the Quarkus Cache,https://github.com/quarkusio/quarkus/issues/27785,https://github.com/quarkusio/quarkus,https://github.com/quarkusio/quarkus/commit/3a1260954b51e976834306c1b4163c527c88f877,extensions/cache/runtime/src/main/java/io/quarkus/cache/runtime/CacheManagerRecorder.java/49-49,Caching Optimization,Fix-related,"The code provided implements a mechanism to resolve and select appropriate cache managers, which is central to caching optimization."
664e3d1f7b998c13cdb9ecd0,1e19dada64ee3dde665473ac8a4b33a9e1f8efb8,quarkus,Add Method Annotation,Integrate Redis with the Quarkus Cache,https://github.com/quarkusio/quarkus/issues/27785,https://github.com/quarkusio/quarkus,https://github.com/quarkusio/quarkus/commit/1e19dada64ee3dde665473ac8a4b33a9e1f8efb8,extensions/redis-cache/runtime/src/main/java/io/quarkus/cache/redis/runtime/RedisCacheImpl.java/329-329,Caching Optimization,Maintenance-related,"Adding the static keyword to the method and removing lambdas in favor of anonymous classes can improve the execution time by reducing the overhead associated with lambda creation and execution. The use of @Override also enhances readability and maintenance, ensuring that the method correctly overrides an inherited method."
664f70527b998c13cdbb7cad,176a3d215cd8adb855fb371e03e7d9aeee5118e2,querydsl,Change Attribute Type,querydsl-sql : Joda time should be optional,https://github.com/querydsl/querydsl/issues/2025,https://github.com/querydsl/querydsl,https://github.com/querydsl/querydsl/commit/176a3d215cd8adb855fb371e03e7d9aeee5118e2,querydsl-sql/src/main/java/com/querydsl/sql/types/AbstractDateTimeType.java/47-52,Concurrency and Parallelism Enhancement,Fix-related,"Changing the attribute type to ThreadLocal<SimpleDateFormat> ensures that each thread has its own instance of SimpleDateFormat, avoiding the overhead and potential concurrency issues associated with shared DateFormat instances."
6652f4db5484ec0c9ccd9f23,6e2155473d500d2d73f40741791466b729e0a7f0,rdf4j,Change Attribute Type,SHACL - Support shapes in any graph,https://github.com/eclipse-rdf4j/rdf4j/issues/3657,https://github.com/eclipse-rdf4j/rdf4j,https://github.com/eclipse-rdf4j/rdf4j/commit/6e2155473d500d2d73f40741791466b729e0a7f0,core/sail/api/src/main/java/org/eclipse/rdf4j/common/concurrent/locks/diagnostics/LockTracking.java/241-241,Concurrency and Parallelism Enhancement,Fix-related,"Changing the attribute type from a specific Lock to a generic T allows for more flexible and potentially more efficient lock implementations, such as StampedLock. This refactoring supports improved concurrency control and parallel processing, which are crucial for performance optimization in multi-threaded environments."
66516ff34eb27c185fe53378,38c01957810aac179407092c9bf7a360e15d459b,qupath,Change Variable Type,Generating multiple readers with Bio-Formats can be very slow,https://github.com/qupath/qupath/issues/865,https://github.com/qupath/qupath,https://github.com/qupath/qupath/commit/38c01957810aac179407092c9bf7a360e15d459b,qupath-extension-bioformats/src/main/java/qupath/lib/images/servers/bioformats/BioFormatsImageServer.java/837-837,Concurrency and Parallelism Enhancement,Fix-related,"Changing the variable type to use a reader pool (readerPool) instead of directly getting a single reader (IFormatReader ipReader) optimizes the performance of the tile reading process. This refactoring allows for better management of resources, reduces bottlenecks, and avoids generating more readers than needed."
6651367c4eb27c185fe4c36a,9a0fafe579378b0b76d416e3fd85e9645653aba1,eventmesh,Rename Variable,[Enhancement] Refactor SubScribeTask,https://github.com/apache/eventmesh/issues/3445,https://github.com/apache/eventmesh,https://github.com/apache/eventmesh/commit/9a0fafe579378b0b76d416e3fd85e9645653aba1,eventmesh-storage/eventmesh-storage-standalone/src/main/java/org/apache/eventmesh/storage/standalone/consumer/StandaloneConsumer.java/117-117,Concurrency and Parallelism Enhancement,Maintenance-related,"Renaming variables is a maintenance-related refactoring. It enhances the readability and clarity of the code by using clear and descriptive names, making the codebase easier to understand and manage. "
6651b0294eb27c185fe57770,2f35cddd1f8159a375c9c307e7648aaa87f81da7,product-apim,Move Class,APIM become slow/unresponsive and all synapse threads wait on PassThroughMessageProcessor-[IdentityEncoder],https://github.com/wso2/product-apim/issues/4682,https://github.com/wso2/product-apim,https://github.com/wso2/product-apim/commit/2f35cddd1f8159a375c9c307e7648aaa87f81da7,modules/integration/tests-common/admin-clients/src/main/java/org/wso2/am/admin/clients/common/AuthenticatorClient.java/32-85,Concurrency and Parallelism Enhancement,Maintenance-related,"Moving classes to their correct packages can help avoid issues like class loading conflicts, reduce the size of individual packages, and improve the clarity of the code structure. This can result in more efficient handling of concurrent operations, particularly in systems like APIM (API Management) where multiple threads and processes are involved."
664f3eef7b998c13cdbb33b5,2aec1f61ec4298ebc9c355af2ddcf86e55d7f8ba,JSqlParser,Rename Variable,[BUG] JSQLParser 4.6 : PostgreSQL : CPU burn when parsing certain queries,https://github.com/JSQLParser/JSqlParser/issues/1792,https://github.com/JSQLParser/JSqlParser,https://github.com/JSQLParser/JSqlParser/commit/2aec1f61ec4298ebc9c355af2ddcf86e55d7f8ba,src/test/java/net/sf/jsqlparser/test/TestUtils.java/159-159,CPU Usage Optimization,Test-related,Renaming variables to improve code readability can indirectly support performance optimization efforts by making the code easier to understand and maintain.
