repo_fullname,type,counts
1c-syntax/bsl-language-server,Add Attribute Modifier,3
1c-syntax/bsl-language-server,Add Class Annotation,4
1c-syntax/bsl-language-server,Add Method Annotation,5
1c-syntax/bsl-language-server,Add Method Modifier,27
1c-syntax/bsl-language-server,Add Parameter,25
1c-syntax/bsl-language-server,Add Parameter Annotation,1
1c-syntax/bsl-language-server,Add Thrown Exception Type,1
1c-syntax/bsl-language-server,Change Attribute Access Modifier,7
1c-syntax/bsl-language-server,Change Attribute Type,30
1c-syntax/bsl-language-server,Change Method Access Modifier,10
1c-syntax/bsl-language-server,Change Parameter Type,38
1c-syntax/bsl-language-server,Change Return Type,17
1c-syntax/bsl-language-server,Change Variable Type,31
1c-syntax/bsl-language-server,Extract And Move Method,1
1c-syntax/bsl-language-server,Extract Attribute,5
1c-syntax/bsl-language-server,Extract Class,2
1c-syntax/bsl-language-server,Extract Method,29
1c-syntax/bsl-language-server,Extract Superclass,1
1c-syntax/bsl-language-server,Extract Variable,6
1c-syntax/bsl-language-server,Inline Attribute,1
1c-syntax/bsl-language-server,Inline Method,2
1c-syntax/bsl-language-server,Inline Variable,7
1c-syntax/bsl-language-server,Merge Conditional,1
1c-syntax/bsl-language-server,Modify Attribute Annotation,3
1c-syntax/bsl-language-server,Modify Class Annotation,34
1c-syntax/bsl-language-server,Move And Inline Method,1
1c-syntax/bsl-language-server,Move And Rename Method,1
1c-syntax/bsl-language-server,Move Class,1
1c-syntax/bsl-language-server,Move Method,6
1c-syntax/bsl-language-server,Parameterize Attribute,8
1c-syntax/bsl-language-server,Parameterize Variable,5
1c-syntax/bsl-language-server,Pull Up Attribute,2
1c-syntax/bsl-language-server,Pull Up Method,6
1c-syntax/bsl-language-server,Remove Attribute Annotation,2
1c-syntax/bsl-language-server,Remove Attribute Modifier,11
1c-syntax/bsl-language-server,Remove Method Annotation,8
1c-syntax/bsl-language-server,Remove Method Modifier,9
1c-syntax/bsl-language-server,Remove Parameter,32
1c-syntax/bsl-language-server,Remove Thrown Exception Type,1
1c-syntax/bsl-language-server,Remove Variable Modifier,4
1c-syntax/bsl-language-server,Rename Attribute,15
1c-syntax/bsl-language-server,Rename Class,13
1c-syntax/bsl-language-server,Rename Method,43
1c-syntax/bsl-language-server,Rename Parameter,25
1c-syntax/bsl-language-server,Rename Variable,39
1c-syntax/bsl-language-server,Replace Attribute With Variable,1
1c-syntax/bsl-language-server,Replace Loop With Pipeline,1
1c-syntax/bsl-language-server,Replace Pipeline With Loop,3
1c-syntax/bsl-language-server,Replace Variable With Attribute,1
1c-syntax/bsl-language-server,Split Conditional,2
Activiti/Activiti,Add Attribute Modifier,2
Activiti/Activiti,Add Method Annotation,9
Activiti/Activiti,Add Parameter,26
Activiti/Activiti,Change Attribute Access Modifier,1
Activiti/Activiti,Change Method Access Modifier,1
Activiti/Activiti,Change Return Type,1
Activiti/Activiti,Change Variable Type,8
Activiti/Activiti,Extract Interface,2
Activiti/Activiti,Move Code,1
Activiti/Activiti,Pull Up Attribute,11
Activiti/Activiti,Remove Method Modifier,1
Activiti/Activiti,Remove Parameter,5
Activiti/Activiti,Rename Attribute,8
Activiti/Activiti,Rename Class,1
Activiti/Activiti,Rename Method,7
Activiti/Activiti,Rename Parameter,3
Activiti/Activiti,Split Attribute,1
Activiti/Activiti,Split Parameter,1
AlexModGuy/Ice_and_Fire,Add Attribute Modifier,1
AlexModGuy/Ice_and_Fire,Add Class Modifier,1
AlexModGuy/Ice_and_Fire,Add Method Annotation,14
AlexModGuy/Ice_and_Fire,Add Method Modifier,5
AlexModGuy/Ice_and_Fire,Add Parameter,3
AlexModGuy/Ice_and_Fire,Add Parameter Annotation,6
AlexModGuy/Ice_and_Fire,Change Attribute Access Modifier,22
AlexModGuy/Ice_and_Fire,Change Method Access Modifier,11
AlexModGuy/Ice_and_Fire,Change Parameter Type,8
AlexModGuy/Ice_and_Fire,Change Return Type,1
AlexModGuy/Ice_and_Fire,Extract And Move Method,6
AlexModGuy/Ice_and_Fire,Extract Class,3
AlexModGuy/Ice_and_Fire,Extract Method,4
AlexModGuy/Ice_and_Fire,Extract Superclass,1
AlexModGuy/Ice_and_Fire,Extract Variable,6
AlexModGuy/Ice_and_Fire,Inline Method,1
AlexModGuy/Ice_and_Fire,Inline Variable,2
AlexModGuy/Ice_and_Fire,Merge Conditional,1
AlexModGuy/Ice_and_Fire,Move And Rename Method,3
AlexModGuy/Ice_and_Fire,Move Attribute,8
AlexModGuy/Ice_and_Fire,Move Code,2
AlexModGuy/Ice_and_Fire,Move Method,8
AlexModGuy/Ice_and_Fire,Pull Up Attribute,40
AlexModGuy/Ice_and_Fire,Pull Up Method,13
AlexModGuy/Ice_and_Fire,Remove Method Annotation,6
AlexModGuy/Ice_and_Fire,Remove Method Modifier,2
AlexModGuy/Ice_and_Fire,Remove Parameter,2
AlexModGuy/Ice_and_Fire,Rename Class,1
AlexModGuy/Ice_and_Fire,Rename Method,6
AlexModGuy/Ice_and_Fire,Rename Parameter,4
AlexModGuy/Ice_and_Fire,Rename Variable,12
AlexModGuy/Ice_and_Fire,Split Conditional,3
AlfaazPlus/QuranApp,Add Parameter Annotation,1
AlfaazPlus/QuranApp,Add Variable Modifier,1
AlfaazPlus/QuranApp,Change Attribute Type,6
AlfaazPlus/QuranApp,Change Method Access Modifier,4
AlfaazPlus/QuranApp,Change Parameter Type,3
AlfaazPlus/QuranApp,Change Return Type,3
AlfaazPlus/QuranApp,Change Variable Type,5
AlfaazPlus/QuranApp,Extract Method,2
AlfaazPlus/QuranApp,Extract Variable,1
AlfaazPlus/QuranApp,Inline Variable,4
AlfaazPlus/QuranApp,Invert Condition,1
AlfaazPlus/QuranApp,Parameterize Variable,2
AlfaazPlus/QuranApp,Remove Attribute Modifier,1
AlfaazPlus/QuranApp,Remove Parameter,1
AlfaazPlus/QuranApp,Rename Attribute,1
AlfaazPlus/QuranApp,Rename Method,2
AlfaazPlus/QuranApp,Rename Parameter,1
AlfaazPlus/QuranApp,Rename Variable,2
AlfaazPlus/QuranApp,Split Parameter,1
AntennaPod/AntennaPod,Add Method Annotation,2
AntennaPod/AntennaPod,Add Method Modifier,2
AntennaPod/AntennaPod,Add Parameter,9
AntennaPod/AntennaPod,Add Parameter Annotation,1
AntennaPod/AntennaPod,Change Attribute Access Modifier,1
